Modelo,Escenario,N_Features,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std
Ridge,Con_Exogenas,13,1.8150059714511482,0.31956386173196916,2.0976092688258503,0.3664548483092371,44.15825831532245,9.878432884519471
XGBoost,Con_Exogenas,13,1.8347953796386718,0.379005860402173,2.109494338071383,0.4719864967784318,44.54632628942109,8.979357775698926
RandomForest,Con_Exogenas,13,1.851310151470308,0.35151854876798144,2.1206324897670137,0.4363906410468997,44.819031211980004,9.652329453620926
RandomForest,Solo_Auto,5,1.8840185384305408,0.45389817479774786,2.169185616411311,0.5228727485569478,45.24077282810803,10.177235114017709
Ridge,Solo_Auto,5,1.904474776836118,0.42714222891157777,2.180378287659305,0.5027621421280657,45.736809585088466,9.454504888935121
LightGBM,Solo_Auto,5,1.925324532484186,0.4541763763042413,2.228373893041398,0.5080322371926554,45.97670129116618,10.949248068945012
LightGBM,Con_Exogenas,13,1.9179708769120576,0.2782027648159873,2.1936253952493865,0.3710782741503548,46.16043881135571,8.983344799837035
XGBoost,Solo_Auto,5,1.9376840591430664,0.45178858384708254,2.2252186268209804,0.5434119976720776,46.17560856826283,9.816102045322685
ElasticNet,Con_Exogenas,13,1.9538616468237682,0.43922850000965746,2.2354067273591425,0.513927518422612,46.64086607576995,12.887131360329239
Lasso,Con_Exogenas,13,1.9580968674019181,0.44704748217607976,2.2442766223931385,0.525631983523757,46.70364843015089,12.994917269181451
Lasso,Solo_Auto,5,1.9580968674019181,0.44704748217607976,2.2442766223931385,0.525631983523757,46.70364843015089,12.994917269181451
ElasticNet,Solo_Auto,5,1.9580968674019181,0.44704748217607976,2.2442766223931385,0.525631983523757,46.70364843015089,12.994917269181451
